Name,Area,Number,Link
Bar do Alemão,Gávea,(21) 2259-8003,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1036/bar_do_alemao
Bar do Arnaudo  ,Santa Teresa,(21) 2210-0817,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/2143/bar_do_arnaudo_
Bar do Belmiro,Botafogo,(21) 2539-1354,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1474/bar_do_belmiro
Bar do Beto,Ipanema,2523-1443,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1147/bar_do_beto
Bar do Bode Cheiroso,Maracanã,(21) 2568-9511,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4330/bar_do_bode_cheiroso
Bar do Camarão,Galeão,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1403/bar_do_camarao
Bar do Copa,Copacabana,(21) 2545-8790,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/21/bar-do-copa
Bar do Costa,Vila Isabel,2204-0240,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1111/bar_do_costa
Bar do David,Leme,(21) 7808-2200,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/764/bar-do-david
Bar do Ferreira,Leblon,2540-7014,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1235/bar_do_ferreira
Bar do Lado,Leblon,2172-1100,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1237/bar_do_lado
Bar do Mariano,Grajaú,(21) 2578-1232,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1276/bar_do_mariano
Bar do Meio - Icaraí,Icaraí,(21) 2619-2505,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1559/bar_do_meio__icarai
Bar do Meio - Piratininga,Piratininga,(21) 2619-2505,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1560/bar_do_meio__piratininga
Bar do Mineiro,Santa Teresa,(21) 2508-8580,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/765/bar-do-mineiro
Bar do Momo,Tijuca,2570-9389,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1084/bar_do_momo_1084_1085
Bar do Nanam,Centro,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4667/bar_do_nanam
Bar do Omar,Santo Cristo,21 2296-8437,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1347/bar_do_omar
Bar do Oswaldo,Barra da Tijuca,(21) 2493 - 1840,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1145/bar_do_oswaldo
Bar do Picote,Flamengo,(21) 2552-1799,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1547/bar_do_picote
Bar do Serafim ,Laranjeiras,2225-2843,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1174/bar_do_serafim_
Bar do Serginho,Santa Teresa,(21) 2509-6957,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1205/bar_do_serginho
Bar do Seu Tomé,Recreio dos Bandeirantes,(21) 2498-9730,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1146/bar_do_seu_tome
Bar do Tom,Leblon,2274-4022,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1239/bar_do_tom
Bar do Zeca Pagodinho,Barra da Tijuca,(21) 3030-9097,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4960/bar_do_zeca_pagodinho
Bar do Zequinha,Botafogo,(21)7321-7456,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1278/bar_do_zequinha
Bar dos Amigos,Jardim Botânico,(21) 2294-9005,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1279/bar_dos_amigos
Bar dos Descasados,Santa Teresa,(21) 2221-1406,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/767/bar-dos-descasados
Bar dos Guerreiros,Laranjeiras,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/3911/bar_dos_guerreiros
Bar du Bom,Grajaú,(21) 2571-3370,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1113/bar_du_bom
Bar du Bom,Vila Isabel,(21) 3559-3947,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/3840/bar_du_bom20121004154813
Bar D´Hôtel ,Leblon,(21) 2172-1100,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/2264/bar_dhotel_
Bar e Champanheria Copacabana ,Copacabana, 7745.2143,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1188/bar_e_champanheria_copacabana_
Bar e Restaurante do Manolo,Botafogo,2552-4998,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1119/bar_e_restaurante_do_manolo
Bar e Restaurante Urca,Urca,(21) 2295-8744,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/770/bar_e_restaurante_urca
Bar Escol,Copacabana,8162-3225,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1186/bar_escol
Bar Getúlio,Copacabana,(21) 2255-5272,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1530/bar_getulio
Bar Kalango,Praia da Bandeira,(21) 2504-0088,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4692/bar_kalango
Bar Leblon,Leblon,(21) 3596-3996,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4938/bar_leblon
Bar Léo,Centro,(21) 2509-5730,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4844/bar_leo
Bar Lounge San Remo,Lagoa,(21) 2249-8762,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/3795/bar_lounge_san_remo
Bar Luiz,Centro,(21) 2262-6900,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1207/bar_luiz
Bar Nefertiti,Barra da Tijuca,(21) 3116-4140,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/22/bar-nefertiti
Bar Ocidental,Centro,(21) 2253-4042,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1209/bar_ocidental
Bar Peixe & Cia,Centro,(21) 3970-2480,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1210/bar_peixe__cia
Bar Popeye,Ipanema,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1280/bar_popeye
Bar Rebouças,Jardim Botânico,(21) 2286-3212,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/769/bar-reboucas
Bar Varnhagen,Tijuca,2254-3062,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1093/varnhagen
Bar Vinte,Ipanema,2239-0546,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1151/bar_vinte
Barbieri,Centro,(21) 2507-2394,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1211/barbieri
Baretto Londra,Ipanema,3202-4000,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1153/baretto_londra
Barraca da Chiquita,São Cristóvão,3860-2929,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1115/barraca_da_chiquita
Barraca do Pepê,Barra da Tijuca,(21) 2433 1400,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1747/barraca_do_pepe
Barril 8000-Praia Barra da Tijuca,Barra da Tijuca,(21) 2433-1730,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/24/barril_8000praia_barra_da_tijuca_1096
Barril 8000-Recreio,Barra da Tijuca,(21) 3150-9050,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/25/barril-8000-recreio
Barril 8000-Shopping Downtown,Barra da Tijuca,(21) 3153-7740,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/26/barril-8000-shopping-downtown
Barthodomeu,Ipanema,(21) 2247-8609,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1558/barthodomeu
Bartman,Flamengo,(21) 2558-6913,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4329/bartman
Barzin Rio Live,Ipanema,(21) 2522-1809,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1086/barzin_rio_live
Barzinga Geek Planet,Centro,(21) 96737-5624,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4775/barzinga_geek_planet
Bastarda Bike Café,Jardim Botânico,(21) 3577-8142,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4474/bastarda_bike_cafe
Bazar da Cantoria,São Cristóvão,(21) 2580-0521,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1773/bazar_da_cantoria
BeCo,Botafogo,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4921/beco
Beco das Garrafas,Copacabana,(21) 96800-8683,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4281/beco_das_garrafas
Beco do Rato,Centro,(21) 2508-5600,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/772/beco_do_rato
Beef Bar Escondido,Copacabana,(21) 2522-9800,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4090/beef_bar_escondido
Beer House 57,Humaitá,(21) 2143-4964,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4849/beer_house_57
Beer Jack Hideout,Botafogo,(21) 2226-0267,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1475/beer_jack_hideout
Beer Soccer Club,Jardim Vinte e Cinco de Agosto,(21) 2653-2196,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4104/beer_soccer_club
Beer Underground,Centro,(21) 2533-3861 ,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4306/beer_underground
Beer Underground Brasil,Centro,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4451/beer_underground_brasil
BeerLab,Copacabana,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4659/beerlab
Beertaste,Barra da Tijuca,(21) 2494-9136,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/773/beertaste
Beertaste,Barra da Tijuca,(21) 4108-7808,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4223/beertaste20140813122353
Beiju,Botafogo,(21) 2286-6618,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1263/beiju
Belgian Beer Café,Ipanema,3256-2595,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1156/belgian_beer_cafe
BemDito ,São Francisco,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/3839/bemdito_
Bença,Leblon,(21) 97117-7446,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1234/benca
Benditho,Vila Isabel,2208-2346,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1118/benditho
Bento,Maracanã,(21) 3596-7583,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4293/bento
Berbigão ,Catete,(21) 2205-7245,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1533/berbigao_
Bezamat,Centro,(21) 3553-1579,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1212/bezamat
Bicho Carpinteiro,Pechincha,(21) 3392-5454,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1148/bicho_carpinteiro
Bier en Cultuur,Ipanema,(21) 3553-5716,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4183/bier_en_cultuur
Bier Park I,Leblon,(21) 2512-1423,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/27/bier-park-i
Biergarten Tijuca,Tijuca,(21) 3269 9525,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4385/biergarten_tijuca
Big Ben Pub,Botafogo,(21) 2286-8120,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/15/big_ben_pub
Bingo Bar e Restaurante,Jardim Botânico,(21) 2294-5498,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4442/bingo_bar_e_restaurante
Bip Bip,Copacabana,(21) 2267-9696,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/774/bip-bip
"Birreria Escondido,CA",Botafogo,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4440/birreria_escondidoca
Black Bar ,Leblon,3079-9581,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1251/black_bar_
Blend Steak Bar,Cachambi,(21) 3576-5309,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4913/blend_steak_bar
Bobô Bar,Méier,(21) 3495-8223,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4856/bobo_bar
Bodega Bebidas e Antepastos,Copacabana,(21) 96550-4763,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4780/bodega_bebidas_e_antepastos
Bog House & Jack Daniels Society,Tijuca,(21) 2147-6942,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/3950/bog_house__jack_daniels_society
Bola de Cristal Bilhar e Bar,Catete,(21) 2265-9696,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/3783/bola_de_cristal_bilhar_e_bar
Bom Sujeito,Barra da Tijuca,(21) 2491-8955,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/29/bom-sujeito
Bon Vivant,Botafogo,(21) 2537-2857,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/2228/bon_vivant
Booze Bar,Centro,(21) 2252-1588,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4400/booze_bar
Bossa Nossa-Lapa,Centro,(21) 2232-4959,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/31/bossa_nossalapa
Bossa Nossa-Rio II,Jacarepaguá,(21) 2441-1630,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/32/bossa_nossario_ii
Botafogo Brothers Hostel,Botafogo,(21) 2551-0997,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/491/botafogo-brothers-hostel
Boteco 98,Botafogo,(21) 2539-4971,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4042/boteco_98
Boteco Belmonte,Ipanema,(21) 2267-9909,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/905/boteco_belmonte_-_ipanema
Boteco Belmonte,Jardim Botânico,(21) 2239-1649,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/909/boteco_belmonte_-_jardim_botanico
